Species,Fos,Ter,Aqu,Arb,Leaves,Flowers,Seeds,Fruits,Arthro,Vert,Diu,Noc,Crepu,Wet_warm,Wet_cold,Dry_warm,Dry_cold,Body_mass_g,Age_at_maturity_min_y,Age_at_maturity_max_y,Body_size_mm,Size_at_maturity_min_mm,Size_at_maturity_max_mm,Longevity_max_y,Litter_size_min_n,Litter_size_max_n,Reproductive_output_y,Offspring_size_min_mm,Offspring_size_max_mm,Dir,Lar,Viv,OBS
Gastrophryne_carolinensis,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,2.59,1,2,38,NA,NA,6.8,598,850,1,1.2,1.2,0,1,0,NA
Gastrophryne_olivacea,1,1,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,4,NA,NA,41,NA,NA,NA,622,622,1,0.9,0.9,0,1,0,NA
Hamptophryne_boliviana,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,NA,6.1,NA,NA,44,NA,NA,NA,280,2186,1,1,1.5,0,1,0,NA
Hypopachus_variolosus,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,700,700,1,NA,NA,0,1,0,NA
Ctenophryne_aterrima,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,75,75,1,NA,NA,0,1,0,NA
Kalophrynus_baluensis,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Kalophrynus_bunguranus,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
Kalophrynus_calciphilus,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kalophrynus_eok,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.3,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
Kalophrynus_heterochirus,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Kalophrynus_interlineatus,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.7,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Kalophrynus_intermedius,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Kalophrynus_minusculus,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,30,50,1,NA,NA,0,1,0,NA
Kalophrynus_nubicola,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.4,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Kalophrynus_pleurostigma,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5,NA,NA,NA,4000,4000,1,1,1,0,1,0,NA
Kalophrynus_punctatus,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.3,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Kalophrynus_subterrestris,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Glyphoglossus_brooksii,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.5,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
Glyphoglossus_flavus,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,35.2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
Glyphoglossus_guttulatus,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Glyphoglossus_smithi,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
Glyphoglossus_volzi,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA
Chaperina_fusca,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.4,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Glyphoglossus_molossus,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Kaloula_baleata,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Kaloula_borealis,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,2,3,50.2,NA,NA,10,NA,NA,1,NA,NA,0,1,0,NA
Kaloula_conjuncta,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
Kaloula_kalingensis,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.3,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
