"";"Species";"Body_size_mm";"Fos";"Ter";"Aqu";"Arb";"Dir";"Lar";"Viv"
"332";"Cophixalus_linnaeus";14,2;0;1;0;0;NA;NA;NA
"333";"Cophixalus_melanops";18,9;0;0;0;0;NA;NA;NA
"334";"Cophixalus_misimae";19,6;0;1;0;0;1;0;0
"335";"Cophixalus_monosyllabus";24,3;0;0;0;1;NA;NA;NA
"336";"Cophixalus_montanus";NA;0;1;1;0;1;0;0
"337";"Cophixalus_nubicola";29,2;0;1;1;0;1;0;0
"338";"Cophixalus_ornatus";25;0;1;1;0;1;0;0
"339";"Cophixalus_parkeri";33,1;0;1;0;1;1;0;0
"340";"Cophixalus_phaeobalius";15,3;0;1;0;0;NA;NA;NA
"341";"Cophixalus_pipilans";16,1;0;1;1;0;1;0;0
"342";"Cophixalus_pulchellus";19;0;1;1;0;1;0;0
"343";"Cophixalus_riparius";50;0;1;1;1;1;0;0
"344";"Cophixalus_shellyi";16,5;0;1;1;0;1;0;0
"345";"Cophixalus_sphagnicola";20,6;0;1;1;0;1;0;0
"346";"Cophixalus_tagulensis";18,5;0;1;1;0;1;0;0
"347";"Cophixalus_tetzlaffi";22,6;0;1;0;1;1;0;0
"348";"Cophixalus_timidus";21,1;0;0;0;1;1;0;0
"349";"Cophixalus_tomaiodactylus";14,9;0;1;0;0;NA;NA;NA
"350";"Cophixalus_tridactylus";NA;NA;NA;NA;NA;1;0;0
"351";"Cophixalus_variabilis";19,7;0;1;0;1;1;0;0
"352";"Cophixalus_verecundus";19;0;1;1;0;1;0;0
"353";"Cophixalus_verrucosus";NA;0;1;1;1;1;0;0
"354";"Cophixalus_wempi";15,5;0;0;0;1;NA;NA;NA
"355";"Cophyla_barbouri";23;0;1;0;1;0;1;0
"356";"Cophyla_berara";24,4;0;1;0;1;0;1;0
"357";"Cophyla_grandis";88;0;0;1;1;0;1;0
"358";"Cophyla_mavomavo";35;0;1;0;1;0;1;0
"359";"Cophyla_milloti";30;0;1;0;1;0;1;0
"360";"Cophyla_occultans";NA;NA;NA;NA;NA;0;1;0
"361";"Cophyla_phyllodactyla";29;0;1;1;1;0;1;0
"362";"Cophyla_pollicaris";28;0;1;0;1;0;1;0
"363";"Cophyla_tetra";19,4;0;1;0;1;0;1;0
"364";"Cophyla_tsaratananaensis";27,7;0;1;0;1;0;1;0
"365";"Cophyla_tuberifera";40;0;1;0;1;0;1;0
"366";"Copiula_alpestris";27,8;0;1;1;0;1;0;0
"367";"Copiula_exspectata";NA;1;1;1;0;1;0;0
"368";"Copiula_fistulans";36;1;1;1;0;1;0;0
"369";"Copiula_guttata";44;0;1;1;0;1;0;0
"370";"Copiula_major";NA;1;1;1;0;1;0;0
"371";"Copiula_minor";24,5;1;1;1;0;1;0;0
"372";"Copiula_obsti";NA;1;1;1;0;1;0;0
"373";"Copiula_oxyrhina";29,2;1;1;1;0;1;0;0
"374";"Copiula_pipiens";NA;1;1;1;0;1;0;0
"375";"Copiula_tyleri";NA;1;1;1;0;1;0;0
"376";"Cornufer_acrochordus";NA;NA;NA;NA;NA;1;0;0
"377";"Cornufer_aculeodactylus";25,8;0;1;0;0;1;0;0
"378";"Cornufer_adiastolus";41;0;0;1;1;1;0;0
"379";"Cornufer_admiraltiensis";46,4;0;1;0;0;1;0;0
"380";"Cornufer_akarithymus";24,2;0;1;0;1;1;0;0
"381";"Cornufer_batantae";26,5;0;1;1;0;1;0;0
"382";"Cornufer_bimaculatus";31,7;0;1;0;0;1;0;0
"383";"Cornufer_boulengeri";82;0;1;1;0;1;0;0
"384";"Cornufer_browni";26,7;0;1;1;0;1;0;0
"385";"Cornufer_bufonulus";15,4;0;1;0;0;1;0;0
"386";"Cornufer_caesiops";NA;NA;NA;NA;NA;NA;NA;NA
"387";"Cornufer_cheesmanae";24,5;0;1;1;0;1;0;0
"388";"Cornufer_cryptotis";35,5;0;1;1;0;1;0;0
"389";"Cornufer_desticans";38;0;1;1;0;NA;NA;NA
"390";"Cornufer_elegans";35;0;1;1;0;1;0;0
"391";"Cornufer_gigas";46;0;1;1;0;1;0;0
"392";"Cornufer_gilliardi";32,1;0;1;1;0;1;0;0
"393";"Cornufer_guppyi";183;0;1;1;1;1;0;0
"394";"Cornufer_latro";38;0;1;1;0;1;0;0
"395";"Cornufer_macrops";23,5;0;1;1;0;1;0;0
