;id;FRic
3791;3791;0.000156482
3792;3792;0
3796;3796;0.009162784
3797;3797;0
3798;3798;0.019519265
3812;3812;0.010442077
3820;3820;0.001923002
3821;3821;0.00891825
3822;3822;0.00891825
3824;3824;0.021736199
3826;3826;0
3896;3896;0.211794066
3897;3897;0
3899;3899;0
3902;3902;0
3916;3916;0
3917;3917;0
3987;3987;0
3989;3989;0
3990;3990;0
3995;3995;0
4011;4011;0
4012;4012;0
4022;4022;0
4023;4023;0
4036;4036;0
4070;4070;0
4079;4079;0
4200;4200;0.003368469
4491;4491;0
4576;4576;0
4579;4579;0
4581;4581;0
4586;4586;0
4587;4587;0
4596;4596;0
4597;4597;0
4598;4598;0
4607;4607;0
4609;4609;0
4610;4610;0
4612;4612;0
4617;4617;0
4625;4625;0
4628;4628;0
4629;4629;0
4638;4638;0
4639;4639;0
4643;4643;0
4644;4644;0
4648;4648;0
4649;4649;0
4650;4650;0
4651;4651;0
4674;4674;0
4677;4677;0
4680;4680;0
4683;4683;0
4684;4684;0
4701;4701;0
4713;4713;0
4715;4715;0
4719;4719;0
4720;4720;0
4725;4725;0
4726;4726;0
4727;4727;0
4728;4728;0
4741;4741;0
4757;4757;0
4771;4771;0
4777;4777;0
4784;4784;0
4785;4785;0
4787;4787;0
4806;4806;0
4810;4810;0.000808365
4811;4811;0
4812;4812;0
4818;4818;0
4819;4819;0
4825;4825;0.007287
4830;4830;0.000990947
4831;4831;0.001125542
4832;4832;0
4833;4833;0
4834;4834;0
4835;4835;0
4836;4836;0
4837;4837;0.000808365
4839;4839;0.001125542
4842;4842;0
4843;4843;0
4844;4844;0
4845;4845;0.000808365
4847;4847;0.000808365
4848;4848;0.000808365
4876;4876;0
4877;4877;0.007763496
4878;4878;0.007546571
4879;4879;0.007546571
4880;4880;0.007763496
4888;4888;0.062362941
4891;4891;0.007546571
4899;4899;0.007546571
4900;4900;0.007546571
4901;4901;0.007546571
4902;4902;0
4903;4903;0.007546571
4904;4904;0.007546571
4905;4905;0
4906;4906;0
4914;4914;0.007546571
4930;4930;0
4934;4934;0
4936;4936;0.001041289
4937;4937;0.001041289
4945;4945;0
4950;4950;0
4951;4951;0
4952;4952;0.051822922
4959;4959;0
4961;4961;0
4962;4962;0.008939173
